scientific_name,park_name,observations,category,common_names,conservation_status,is_protected
Eupatorium rugosum,Yosemite National Park,136,Vascular Plant,"Richweed, Snakeroot, White Snakeroot",No Intervention,False
Chlorogalum pomeridianum var. pomeridianum,Yosemite National Park,142,Vascular Plant,Wavyleaf Soap Plant,No Intervention,False
Asparagus officinalis,Great Smoky Mountains National Park,95,Vascular Plant,"Garden Asparagus-Fern, Wild Asparagus",No Intervention,False
Glaucomys sabrinus coloratus,Yellowstone National Park,67,Mammal,"Carolina Northern Flying Squirrel, Northern Flying Squirrel",Endangered,True
Festuca rubra,Bryce National Park,97,Vascular Plant,Red Fescue,No Intervention,False
Asclepias variegata,Yosemite National Park,142,Vascular Plant,White Milkweed,No Intervention,False
Sporobolus cryptandrus,Yosemite National Park,136,Vascular Plant,Sand Dropseed,No Intervention,False
Botrychium ascendens,Great Smoky Mountains National Park,30,Vascular Plant,"Trianglelobe Moonwort, Upswept Moonwort",Species of Concern,True
Eupatorium altissimum,Yellowstone National Park,238,Vascular Plant,Tall Thoroughwort,No Intervention,False
Cinna latifolia,Great Smoky Mountains National Park,73,Vascular Plant,"Slender Wood Reedgrass, Woodreed",No Intervention,False
Parnassia parviflora,Yellowstone National Park,227,Vascular Plant,Smallflower Grass Of Parnassus,No Intervention,False
Rattus norvegicus,Great Smoky Mountains National Park,77,Mammal,Norway Rat,No Intervention,False
Poa saltuensis,Bryce National Park,73,Vascular Plant,"A Bluegrass, Bluegrass",No Intervention,False
Lilium grayi,Yosemite National Park,130,Vascular Plant,Gray's Lily,Species of Concern,True
Salix bebbiana,Yellowstone National Park,274,Vascular Plant,"Bebb's Willow, Gray Willow",No Intervention,False
Lemmiscus curtatus,Great Smoky Mountains National Park,52,Mammal,Sagebrush Vole,No Intervention,False
Boechera lemmonii,Great Smoky Mountains National Park,51,Vascular Plant,Lemmon's Rockcress,No Intervention,False
Euonymus atropurpurea,Yosemite National Park,154,Vascular Plant,"Eastern Wahoo, Wahoo",No Intervention,False
Asplenium rhizophyllum,Great Smoky Mountains National Park,69,Vascular Plant,"Walking Fern, Walking-Fern Spleenwort",No Intervention,False
Dichanthelium scoparium,Great Smoky Mountains National Park,69,Vascular Plant,"Broom Panic Grass, Velvet Panic Grass",No Intervention,False
Senna marilandica,Yellowstone National Park,248,Vascular Plant,"Maryland Senna, Wild Senna",No Intervention,False
Agrostis rossiae,Yosemite National Park,192,Vascular Plant,"Mountain Bentgrass, Ross' Bentgrass",No Intervention,False
Geum macrophyllum var. perincisum,Yellowstone National Park,236,Vascular Plant,"Largeleaf Avens, Large-Leaf Avens",No Intervention,False
Gayophytum ramosissimum,Great Smoky Mountains National Park,41,Vascular Plant,"Muchbranched Groundsmoke, Pinyon Groundsmoke",No Intervention,False
Juncus effusus var. pacificus,Yosemite National Park,142,Vascular Plant,Pacific Rush,No Intervention,False
Asplenium montanum,Great Smoky Mountains National Park,49,Vascular Plant,Mountain Spleenwort,No Intervention,False
Potentilla flabellifolia,Bryce National Park,124,Vascular Plant,"High Mountain Cinquefoil, Mount Rainier Cinquefoil",No Intervention,False
Penstemon azureus var. angustissimus,Yellowstone National Park,224,Vascular Plant,Azure Penstemon,No Intervention,False
Helianthus decapetalus,Yosemite National Park,141,Vascular Plant,"Thin-Leaved Sunflower, Wide-Leaved Sunflower",No Intervention,False
Eriogonum flavum var. piperi,Yosemite National Park,135,Vascular Plant,"Piper's Eriogonum, Piper's Golden Buckwheat",No Intervention,False
Botrychium lanceolatum,Yellowstone National Park,266,Vascular Plant,"Lanceleaf Grapefern, Lance-Leaf Moonwort, Triangle Moonwort",No Intervention,False
Triodanis biflora,Yellowstone National Park,234,Vascular Plant,Small Venus' Looking-Glass,No Intervention,False
Rudbeckia fulgida,Yellowstone National Park,264,Vascular Plant,Orange Coneflower,No Intervention,False
Erigeron tweedyi,Great Smoky Mountains National Park,100,Vascular Plant,Tweedy's Fleabane,No Intervention,False
Achnatherum richardsonii,Great Smoky Mountains National Park,96,Vascular Plant,"Richardson Needlegrass, Richardson's Needlegrass",No Intervention,False
Juniperus virginiana,Great Smoky Mountains National Park,57,Vascular Plant,Red Cedar,No Intervention,False
Tringa semipalmata,Yosemite National Park,168,Bird,Willet,No Intervention,False
Chamaecrista nictitans ssp. nictitans var. nictitans,Great Smoky Mountains National Park,91,Vascular Plant,Partridge Pea,No Intervention,False
Sparganium natans,Yosemite National Park,111,Vascular Plant,Small Bur-Reed,No Intervention,False
Selasphorus platycercus,Yellowstone National Park,261,Bird,Broad-Tailed Hummingbird,No Intervention,False
Platanthera leucostachys,Yellowstone National Park,259,Vascular Plant,"Bog Orchid, Sierra Bog Orchid",No Intervention,False
Sium suave,Yellowstone National Park,211,Vascular Plant,"Common Waterparsnip, Hemlock Waterparsnip, Hemlock Water-Parsnip",Species of Concern,True
Scutellaria elliptica,Bryce National Park,52,Vascular Plant,Hairy Skullcap,No Intervention,False
Chelone obliqua,Yellowstone National Park,257,Vascular Plant,"Lance-Leaved Turtlehead, Red Turtlehead",No Intervention,False
Minuartia stricta,Great Smoky Mountains National Park,106,Vascular Plant,Bog Stitchwort,No Intervention,False
Anemone patens var. multifida,Yosemite National Park,155,Vascular Plant,Cutleaf Anemone,No Intervention,False
Sambucus racemosa var. pubens,Great Smoky Mountains National Park,91,Vascular Plant,Red-Berried Elder,No Intervention,False
Anas rubripes,Yosemite National Park,153,Bird,American Black Duck,No Intervention,False
Silene dichotoma,Yosemite National Park,126,Vascular Plant,Dichotoma Silene,No Intervention,False
Cottus carolinae,Yellowstone National Park,258,Fish,Banded Sculpin,No Intervention,False
Cardamine rotundifolia,Yosemite National Park,131,Vascular Plant,"Round Leaf Watercress, Round-Leaf Water Cress",No Intervention,False
Najas minor,Yellowstone National Park,254,Vascular Plant,Brittle Waternymph,No Intervention,False
Rhodobryum ontariense,Yosemite National Park,125,Nonvascular Plant,Ontario Rhodobryum Moss,No Intervention,False
Achnatherum latiglume,Great Smoky Mountains National Park,76,Vascular Plant,Sierra Needlegrass,No Intervention,False
Lampropeltis calligaster rhombomaculata,Yosemite National Park,151,Reptile,Mole Kingsnake,No Intervention,False
Carex haydeniana,Yellowstone National Park,262,Vascular Plant,"Cloud Sedge, Hayden Sedge, Hayden's Sedge",No Intervention,False
Viola porterana,Yellowstone National Park,228,Vascular Plant,Stone's Violet,No Intervention,False
Viburnum dentatum,Yellowstone National Park,273,Vascular Plant,"Arrow-Wood, Southern Arrow-Wood",No Intervention,False
Stellaria media,Bryce National Park,88,Vascular Plant,"Common Chickweed, Common Starwort",No Intervention,False
Amsinckia lycopsoides,Yellowstone National Park,208,Vascular Plant,"Bugloss Fiddleneck, Tarweed Fiddleneck",No Intervention,False
Thaspium trifoliatum,Yosemite National Park,137,Vascular Plant,Purple Meadowparsnip,No Intervention,False
Quercus phellos,Great Smoky Mountains National Park,66,Vascular Plant,Willow Oak,No Intervention,False
Fleischmannia incarnata,Yosemite National Park,156,Vascular Plant,Pink Thoroughwort,No Intervention,False
Pseudognaphalium stramineum,Yellowstone National Park,274,Vascular Plant,"Annual Cudweed, Cotton Cudweed, Cottonbatting Cudweed, Cottonbatting Plant",No Intervention,False
Rubus canadensis,Great Smoky Mountains National Park,87,Vascular Plant,Smooth Blackberry,No Intervention,False
Trifolium gracilentum var. gracilentum,Yosemite National Park,188,Vascular Plant,Pinpoint Clover,No Intervention,False
Melilotus officinalis,Yosemite National Park,173,Vascular Plant,Yellow Sweet-Clover,No Intervention,False
Geranium carolinianum,Bryce National Park,73,Vascular Plant,"Carolina Cranesbill, Carolina Crane's-Bill",No Intervention,False
Pinus flexilis,Bryce National Park,74,Vascular Plant,"Limber Pine, Rocky Mountain White Pine",No Intervention,False
Polygonum erectum,Bryce National Park,100,Vascular Plant,"Erect Knotweed, Knotweed",No Intervention,False
Solidago patula,Great Smoky Mountains National Park,94,Vascular Plant,"Rough-Leaved Goldenrod, Roundleaf Goldenrod",No Intervention,False
Thalictrum coriaceum,Yellowstone National Park,243,Vascular Plant,"Leatherleaf Meadowrue, Stalked-Fruited Meadowrue",No Intervention,False
Lemna gibba,Yellowstone National Park,220,Vascular Plant,Swollen Duckweed,No Intervention,False
Holcus lanatus,Yellowstone National Park,287,Vascular Plant,"Common Velvet Grass, Velvetgrass",No Intervention,False
Oryzopsis asperifolia,Yosemite National Park,157,Vascular Plant,"Roughleaf Ricegrass, White-Grain Mountain-Rice Gras",No Intervention,False
Duchesnea indica,Bryce National Park,116,Vascular Plant,"Barren Strawberry, Indian Mock-Strawberry",No Intervention,False
Mustela,Bryce National Park,94,Mammal,Mink (Or Weasel),No Intervention,False
Cynodon dactylon,Great Smoky Mountains National Park,51,Vascular Plant,"Bermuda Grass, Bermuda-Grass",No Intervention,False
Scutellaria galericulata,Great Smoky Mountains National Park,67,Vascular Plant,"Hooded Skullcap, Marsh Skullcap",No Intervention,False
Astragalus crassicarpus var. paysonii,Bryce National Park,85,Vascular Plant,"Groundplum Milkvetch, Mountain Groundplum, Payson's Milkvetch",No Intervention,False
Plethodon aureolus,Yosemite National Park,125,Amphibian,Tellico Salamander,No Intervention,False
Perideridia howellii,Yellowstone National Park,259,Vascular Plant,Howell's Yampah,No Intervention,False
Panicum rigidulum,Yellowstone National Park,272,Vascular Plant,"Redtop Panicgrass, Redtop Panicum",No Intervention,False
Trillium simile,Bryce National Park,162,Vascular Plant,Sweet White Trillium,No Intervention,False
Dumetella carolinensis,Yellowstone National Park,222,Bird,Gray Catbird,No Intervention,False
Geothlypis trichas,Bryce National Park,103,Bird,Common Yellowthroat,No Intervention,False
Muhlenbergia asperifolia,Yellowstone National Park,247,Vascular Plant,"Alkali Muhly, Scratchgrass",No Intervention,False
Entodon seductrix,Great Smoky Mountains National Park,74,Nonvascular Plant,Seductive Entodon Moss,No Intervention,False
Juncus confusus,Yellowstone National Park,280,Vascular Plant,Colorado Rush,No Intervention,False
Castilleja foliolosa,Great Smoky Mountains National Park,45,Vascular Plant,Texas Indian Paintbrush,No Intervention,False
Moehringia lateriflora,Yellowstone National Park,262,Vascular Plant,"Blunt-Leaf Grove-Sandwort, Bluntleaf Sandwort, Grove Sandwort",No Intervention,False
Polypodium californicum,Yosemite National Park,145,Vascular Plant,California Polypody,No Intervention,False
Ceanothus diversifolius,Yosemite National Park,160,Vascular Plant,Pinemat,No Intervention,False
Lactuca biennis,Great Smoky Mountains National Park,75,Vascular Plant,Tall Blue Lettuce,No Intervention,False
Juncus dichotomus,Great Smoky Mountains National Park,96,Vascular Plant,Rush,No Intervention,False
Schwetschkeopsis fabronia,Great Smoky Mountains National Park,91,Nonvascular Plant,Schwetschkeopsis Moss,No Intervention,False
Platanthera obtusata,Yosemite National Park,142,Vascular Plant,"Bluntleaved Orchid, Northern Small Bog Orchid",No Intervention,False
Delphinium hansenii ssp. hansenii,Great Smoky Mountains National Park,56,Vascular Plant,Eldorado Larkspur,No Intervention,False
Desmognathus imitator,Yellowstone National Park,245,Amphibian,Imitator Salamander,No Intervention,False
Chrysolepis sempervirens,Bryce National Park,115,Vascular Plant,"Bush Chinquapin, Sierra Chinkapin",No Intervention,False
Castilleja cusickii,Great Smoky Mountains National Park,135,Vascular Plant,"Cusick's Indian Paintbrush, Cusick's Paintbrush",No Intervention,False
Allium brandegeei,Yosemite National Park,170,Vascular Plant,Brandegee's Onion,No Intervention,False
Myosotis laxa,Yosemite National Park,134,Vascular Plant,Bay Forget Me Not,No Intervention,False
Platanthera obtusata,Bryce National Park,133,Vascular Plant,"Bluntleaved Orchid, Northern Small Bog Orchid",No Intervention,False
Hordeum vulgare,Great Smoky Mountains National Park,71,Vascular Plant,Common Barley,No Intervention,False
Platanthera hyperborea,Great Smoky Mountains National Park,98,Vascular Plant,"Northern Bog Orchid, Northern Green Orchid",No Intervention,False
Hyophila involuta,Great Smoky Mountains National Park,89,Nonvascular Plant,Hyophila Moss,No Intervention,False
Tetrodontium brownianum,Yosemite National Park,142,Nonvascular Plant,Brown's Tetrodontium Moss,No Intervention,False
Cryptantha flaccida,Yellowstone National Park,307,Vascular Plant,Weakstem Cryptantha,No Intervention,False
Carya laciniosa,Bryce National Park,83,Vascular Plant,Shellbark Hickory,No Intervention,False
Perca flavescens,Great Smoky Mountains National Park,66,Fish,Yellow Perch,No Intervention,False
Epilobium foliosum,Yosemite National Park,130,Vascular Plant,"California Willowherb, Leafy Willowherb",No Intervention,False
Ligusticum canadense,Bryce National Park,93,Vascular Plant,"Loveage, Nondo Lovage",No Intervention,False
Carex laxiculmis,Yellowstone National Park,248,Vascular Plant,"Sedge, Spreading Sedge",No Intervention,False
Ligustrum sinense,Great Smoky Mountains National Park,34,Vascular Plant,Chinese Privet,No Intervention,False
Rosa palustris,Bryce National Park,103,Vascular Plant,Swamp Rose,No Intervention,False
Lithospermum canescens,Yosemite National Park,158,Vascular Plant,"Hoary Puccoon, Orange Puccoon",No Intervention,False
Symphyotrichum undulatum,Bryce National Park,59,Vascular Plant,"Wavyleaf Aster, Waxyleaf Aster",No Intervention,False
Heuchera merriamii,Yellowstone National Park,287,Vascular Plant,Merriam's Alumroot,No Intervention,False
Neovison vison,Yosemite National Park,200,Mammal,American Mink,No Intervention,False
Picoides dorsalis,Great Smoky Mountains National Park,62,Bird,American Three-Toed Woodpecker,No Intervention,False
Regulus satrapa,Yosemite National Park,134,Bird,Golden-Crowned Kinglet,No Intervention,False
Cottus bairdi,Yosemite National Park,161,Fish,Mottled Sculpin,No Intervention,False
Tortula fragilis,Great Smoky Mountains National Park,103,Nonvascular Plant,Fragmented Screw-Moss,No Intervention,False
Castilleja parviflora,Yosemite National Park,136,Vascular Plant,Mountain Indian Paintbrush,No Intervention,False
Athene cunicularia,Yellowstone National Park,229,Bird,Burrowing Owl,No Intervention,False
Eriophorum gracile,Great Smoky Mountains National Park,66,Vascular Plant,"Slender Cottongrass, Slender Cotton-Grass, Slender Cottonsedge",No Intervention,False
Monroa squarrosa,Yellowstone National Park,251,Vascular Plant,"False Buffalo Grass, False Buffalograss",No Intervention,False
Dicentra pauciflora,Yellowstone National Park,232,Vascular Plant,Shorthorn Steer's-Head,No Intervention,False
Malaxis unifolia,Yosemite National Park,146,Vascular Plant,"Adder's Mouth, Green Adder's-Mouth",No Intervention,False
Tamias umbrinus,Yellowstone National Park,270,Mammal,Uinta Chipmunk,No Intervention,False
Salix ligulifolia,Yellowstone National Park,250,Vascular Plant,"Strapleaf Willow, Strap-Leaf Willow",No Intervention,False
Pyrola asarifolia,Great Smoky Mountains National Park,103,Vascular Plant,"Bog Wintergreen, Liverleaf Wintergreen, Pink Wintergreen",No Intervention,False
Homalotheciella subcapillata,Yellowstone National Park,240,Nonvascular Plant,Homalotheciella Moss,No Intervention,False
Carex pedunculata,Yellowstone National Park,230,Vascular Plant,"Longstalk Sedge, Peduncled Sedge",No Intervention,False
Phoradendron juniperinum,Great Smoky Mountains National Park,72,Vascular Plant,"Incense Cedar Mistletoe, Juniper Mistletoe",No Intervention,False
Calycanthus floridus,Yellowstone National Park,240,Vascular Plant,"Carolina-Allspice, Eastern Sweetshrub",No Intervention,False
Panicum rigidulum var. elongatum,Great Smoky Mountains National Park,70,Vascular Plant,"Stalked-Fruit Panic Grass, Tall Flat Panic-Grass",No Intervention,False
Senna obtusifolia,Bryce National Park,128,Vascular Plant,"Java-Bean, Sicklepod",No Intervention,False
Delphinium patens ssp. patens,Bryce National Park,122,Vascular Plant,Zigzag Larkspur,No Intervention,False
Oxypolis rigidior,Great Smoky Mountains National Park,100,Vascular Plant,Stiff Cowbane,No Intervention,False
Clintonia umbellulata,Yellowstone National Park,224,Vascular Plant,"Speckled Wood Lily, White Clintonia",No Intervention,False
Wyethia amplexicaulis,Yellowstone National Park,269,Vascular Plant,"Mule-Ears, Mule's Ear Wyethia, Mulesear Wyethia",No Intervention,False
Artemisia abrotanum,Yosemite National Park,132,Vascular Plant,Southernwood,No Intervention,False
Ribes rotundifolium,Great Smoky Mountains National Park,54,Vascular Plant,"Appalachian Gooseberry, Round-Leaved Currant",No Intervention,False
Viola lobata ssp. integrifolia,Bryce National Park,77,Vascular Plant,Pine Violet,No Intervention,False
Brassica kaber,Bryce National Park,92,Vascular Plant,"Canola, Charlock Mustard, Kaber Mustard, Rapeseed, Wild Mustard",No Intervention,False
Thalictrum thalictroides,Bryce National Park,72,Vascular Plant,"Rue-Anemone, Windflower",No Intervention,False
Juniperus virginiana,Yosemite National Park,134,Vascular Plant,Red Cedar,No Intervention,False
Lophodytes cucullatus,Bryce National Park,126,Bird,Hooded Merganser,No Intervention,False
Pohlia longicolla,Bryce National Park,72,Nonvascular Plant,Pohlia Moss,No Intervention,False
Geum canadense,Yellowstone National Park,251,Vascular Plant,White Avens,No Intervention,False
Polemonium viscosum,Great Smoky Mountains National Park,107,Vascular Plant,"Sticky Jacob's-Ladder, Sticky Polemonium",No Intervention,False
Monardella lanceolata,Great Smoky Mountains National Park,80,Vascular Plant,"Mustang Mint, Mustang Monardella, Mustang Mountainbalm",No Intervention,False
Pseudognaphalium macounii,Yellowstone National Park,224,Vascular Plant,Macoun's Cudweed,No Intervention,False
Coragyps atratus,Great Smoky Mountains National Park,61,Bird,Black Vulture,No Intervention,False
Vermivora lawrencei,Bryce National Park,72,Bird,Lawrence's Warbler,No Intervention,False
Carex misera,Great Smoky Mountains National Park,75,Vascular Plant,"Miserable Sedge, Wretched Sedge",No Intervention,False
Ursus arctos,Great Smoky Mountains National Park,104,Mammal,"Brown Bear, Grizzly Bear",No Intervention,False
Anaxyrus boreas boreas,Bryce National Park,66,Amphibian,Boreal Toad,No Intervention,False
Alisma triviale,Yosemite National Park,174,Vascular Plant,"Northern Water Plantain, Northern Water-Plantain",No Intervention,False
Viola porterana,Bryce National Park,95,Vascular Plant,Stone's Violet,No Intervention,False
Napaeozapus insignis,Great Smoky Mountains National Park,74,Mammal,Woodland Jumping Mouse,No Intervention,False
Neotamias umbrinus,Great Smoky Mountains National Park,89,Mammal,Uinta Chipmunk,No Intervention,False
Odocoileus hemionus,Yosemite National Park,143,Mammal,"Mule Deer, Mule Deer",No Intervention,False
Chimaphila umbellata,Yosemite National Park,138,Vascular Plant,"Pipsissewa, Prince's Pine",No Intervention,False
Carex stenoptila,Great Smoky Mountains National Park,53,Vascular Plant,Riverbank Sedge,No Intervention,False
Cryptantha fendleri,Yellowstone National Park,316,Vascular Plant,"Fendler's Cryptantha, Sanddune Catseye, Sanddune Cryptantha",No Intervention,False
Polygonum arenastrum,Great Smoky Mountains National Park,62,Vascular Plant,"Common Knotweed, Doorweed, Matweed, Ovalleaf Knotweed, Oval-Leaf Knotweed, Prostrate Knotweed",No Intervention,False
Chondestes grammacus,Bryce National Park,82,Bird,Lark Sparrow,No Intervention,False
Tilia americana,Bryce National Park,90,Vascular Plant,American Basswood,No Intervention,False
Eurycea bislineata,Yosemite National Park,158,Amphibian,"Northern Two-Lined Salamander, Two-Lined Salamander",No Intervention,False
Carex barrattii,Yosemite National Park,116,Vascular Plant,Barratt's Sedge,No Intervention,False
Cyperus lupulinus ssp. lupulinus,Bryce National Park,83,Vascular Plant,Great Plains Flatsedge,No Intervention,False
Streptopus lanceolatus var. roseus,Yellowstone National Park,279,Vascular Plant,Twistedstalk,No Intervention,False
Fissidens taxifolius,Great Smoky Mountains National Park,76,Nonvascular Plant,Fissidens Moss,No Intervention,False
Schistidium agassizii,Great Smoky Mountains National Park,76,Nonvascular Plant,Agassiz's Schistidium Moss,No Intervention,False
Avena barbata,Yellowstone National Park,252,Vascular Plant,"Slender Oat, Slender Oats, Slender Wildoat",No Intervention,False
Eumeces fasciatus,Great Smoky Mountains National Park,99,Reptile,Five-Lined Skink,No Intervention,False
Tanacetum vulgare,Bryce National Park,108,Vascular Plant,Common Tansy,No Intervention,False
Vulpia bromoides,Yellowstone National Park,247,Vascular Plant,Fescue,No Intervention,False
Opuntia humifusa,Bryce National Park,64,Vascular Plant,Pricklypear,No Intervention,False
Liatris scariosa,Great Smoky Mountains National Park,33,Vascular Plant,Devil's Bite,No Intervention,False
Eragrostis pilosa,Yosemite National Park,169,Vascular Plant,Indian Lovegrass,No Intervention,False
Allium bisceptrum var. bisceptrum,Bryce National Park,105,Vascular Plant,Twincrest Onion,No Intervention,False
Ranunculus hebecarpus,Yellowstone National Park,270,Vascular Plant,"Delicate Buttercup, Downy-Fruit Buttercup",No Intervention,False
Filago gallica,Bryce National Park,90,Vascular Plant,Narrowleaf Cottonrose,No Intervention,False
Stephanomeria virgata ssp. pleurocarpa,Great Smoky Mountains National Park,60,Vascular Plant,Wand Wirelettuce,No Intervention,False
Salix sericea,Bryce National Park,82,Vascular Plant,Silky Willow,No Intervention,False
Prunus,Yellowstone National Park,247,Vascular Plant,"Chokecherry, Plum",No Intervention,False
Carex aurea,Yellowstone National Park,245,Vascular Plant,"Golden Sedge, Golden-Fruit Sedge",No Intervention,False
Dendroica tigrina,Yellowstone National Park,220,Bird,Cape May Warbler,No Intervention,False
Platygyrium repens,Bryce National Park,113,Nonvascular Plant,Platygyrium Moss,No Intervention,False
Gymnopogon ambiguus,Great Smoky Mountains National Park,66,Vascular Plant,Bearded Skeletongrass,No Intervention,False
Rumex acetosella,Bryce National Park,98,Vascular Plant,"Sheep Sorrel, Sheep Sorrell",No Intervention,False
Peromyscus californicus,Bryce National Park,101,Mammal,California Mouse,No Intervention,False
Sphagnum affine,Yosemite National Park,164,Nonvascular Plant,Sphagnum,No Intervention,False
Juncus dudleyi,Yellowstone National Park,255,Vascular Plant,Dudley's Rush,No Intervention,False
Thamnophis couchii,Great Smoky Mountains National Park,87,Reptile,Sierra (Aquatic) Garter Snake,No Intervention,False
Spiranthes vernalis,Yellowstone National Park,245,Vascular Plant,"Early Lady's Tresses, Grassleaf Ladies'-Tresses",No Intervention,False
Lycopodium digitatum,Yosemite National Park,129,Vascular Plant,Running-Pine,No Intervention,False
Potentilla glandulosa ssp. reflexa,Yosemite National Park,143,Vascular Plant,Sticky Cinquefoil,No Intervention,False
Cinna latifolia,Yosemite National Park,149,Vascular Plant,"Slender Wood Reedgrass, Woodreed",No Intervention,False
Hepatica nobilis var. acuta,Bryce National Park,70,Vascular Plant,Sharp-Lobed Hepatica,No Intervention,False
Potentilla anserina,Bryce National Park,96,Vascular Plant,Silverweed Cinquefoil,No Intervention,False
Glechoma hederacea,Bryce National Park,114,Vascular Plant,"Gill-Over-The-Ground, Ground Ivy",No Intervention,False
Gavia immer,Yosemite National Park,152,Bird,Common Loon,Species of Concern,True
Rudbeckia hirta,Great Smoky Mountains National Park,49,Vascular Plant,Blackeyed Susan,No Intervention,False
Potamogeton gramineus,Yellowstone National Park,214,Vascular Plant,"Grassy Pondweed, Variableleaf Pondweed",No Intervention,False
Trifolium aureum,Great Smoky Mountains National Park,98,Vascular Plant,Yellow Or Hop-Clover,No Intervention,False
Aphanorrhegma serratum,Yellowstone National Park,263,Nonvascular Plant,Serrate Aphanorrhegma Moss,No Intervention,False
Carex gracilescens,Great Smoky Mountains National Park,107,Vascular Plant,Slender Looseflower Sedge,No Intervention,False
Rhododendron maximum,Great Smoky Mountains National Park,88,Vascular Plant,"Great Laurel, Rosebay Rhododendron",No Intervention,False
Rhytidiadelphus triquetrus,Yosemite National Park,128,Nonvascular Plant,Rough Goose Neck Moss,No Intervention,False
Geranium carolinianum,Great Smoky Mountains National Park,92,Vascular Plant,"Carolina Cranesbill, Carolina Crane's-Bill",No Intervention,False
Acer rubrum var. rubrum,Yosemite National Park,147,Vascular Plant,Red Maple,No Intervention,False
Juncus vaseyi,Yellowstone National Park,232,Vascular Plant,"Vasey Rush, Vasey's Rush",No Intervention,False
Sonchus arvensis,Great Smoky Mountains National Park,86,Vascular Plant,"Creeping Sowthistle, Field Sowthistle, Field Sow-Thistle, Perennial Sowthistle, Sowthistle",No Intervention,False
Nemophila menziesii var. menziesii,Great Smoky Mountains National Park,49,Vascular Plant,Baby Blue Eyes,No Intervention,False
Viola septemloba,Bryce National Park,131,Vascular Plant,Violet,No Intervention,False
Disporum hookeri,Great Smoky Mountains National Park,47,Vascular Plant,Drops Of Gold,No Intervention,False
Campanula rapunculoides,Yosemite National Park,155,Vascular Plant,"Creeping Bellflower, Rampion Bellflower, Rover Bellflower",No Intervention,False
Deschampsia elongata,Great Smoky Mountains National Park,71,Vascular Plant,Slender Hairgrass,No Intervention,False
Tonestus lyallii,Yosemite National Park,172,Vascular Plant,"Alpine Goldenweed, Lyall's Goldenweed",No Intervention,False
Selasphorus rufus,Bryce National Park,106,Bird,Rufous Hummingbird,Species of Concern,True
Stuckenia vaginata,Yellowstone National Park,298,Vascular Plant,Sheathed Pondweed,No Intervention,False
Corydalis sempervirens,Yosemite National Park,188,Vascular Plant,Pale Corydalis,No Intervention,False
Anomodon rugelii,Bryce National Park,95,Nonvascular Plant,Rugel's Anomodon Moss,No Intervention,False
Berteroa incana,Yosemite National Park,154,Vascular Plant,"Hoary Alyssum, Hoary False Alyssum, Hoary False Madwort",No Intervention,False
Cardamine clematitis,Yellowstone National Park,193,Vascular Plant,"Mountain Watercress, Mountain Bitter Cress",Species of Concern,True
Egretta tricolor,Yellowstone National Park,248,Bird,Tricolored Heron,No Intervention,False
Ilex collina,Great Smoky Mountains National Park,85,Vascular Plant,"Appalachian Holly, Long-Stalked Holly",No Intervention,False
Lygodium palmatum,Yosemite National Park,169,Vascular Plant,"American Climbing Fern, Climbing Fern",No Intervention,False
Veronica serpyllifolia,Yosemite National Park,97,Vascular Plant,Thyme-Leaved Speedwell,No Intervention,False
Oxalis montana,Bryce National Park,72,Vascular Plant,"White Wood-Sorrel, Wood-Sorrel",No Intervention,False
Hypsiglena torquata nuchalata,Great Smoky Mountains National Park,116,Reptile,California Nightsnake,No Intervention,False
Desmodium canescens,Great Smoky Mountains National Park,48,Vascular Plant,"Hoary Tick-Treefoil, Tick-Trefoil",No Intervention,False
Potentilla glandulosa ssp. glandulosa,Great Smoky Mountains National Park,77,Vascular Plant,Sticky Cinquefoil,No Intervention,False
Picoides dorsalis,Bryce National Park,83,Bird,American Three-Toed Woodpecker,No Intervention,False
Apios americana,Yellowstone National Park,278,Vascular Plant,"American Groundnut, Ground-Nut",No Intervention,False
Saxifraga nidifica var. nidifica,Yellowstone National Park,247,Vascular Plant,Peak Saxifrage,No Intervention,False
Penstemon smallii,Great Smoky Mountains National Park,95,Vascular Plant,"Small's Beardtongue, Small's Beard-Tongue",No Intervention,False
Procyon lotor,Yosemite National Park,133,Mammal,"Common Raccoon, Raccoon",No Intervention,False
Geranium viscosissimum var. nervosum,Great Smoky Mountains National Park,115,Vascular Plant,Sticky Purple Geranium,No Intervention,False
Carduus acanthoides,Bryce National Park,121,Vascular Plant,Spiny Plumeless Thistle,No Intervention,False
Bryum argenteum,Yosemite National Park,140,Nonvascular Plant,Silvergreen Bryum Moss,No Intervention,False
Diervilla lonicera,Bryce National Park,104,Vascular Plant,Northern Bush-Honey-Suckle,No Intervention,False
Notropis atherinoides,Yosemite National Park,162,Fish,Emerald Shiner,No Intervention,False
Phlox paniculata,Great Smoky Mountains National Park,90,Vascular Plant,Summer Phlox,No Intervention,False
Populus balsamifera,Great Smoky Mountains National Park,59,Vascular Plant,Balsam Poplar,No Intervention,False
Asclepias syriaca,Bryce National Park,106,Vascular Plant,"Common Milkweed, Kansas Milkweed",No Intervention,False
Pontederia cordata,Yellowstone National Park,225,Vascular Plant,Pickerelweed,No Intervention,False
Salvia nemorosa,Yellowstone National Park,245,Vascular Plant,Woodland Sage,No Intervention,False
Monotropa hypopithys,Great Smoky Mountains National Park,73,Vascular Plant,"American Pinesap, Pine-Sap",No Intervention,False
Marsilea vestita ssp. vestita,Great Smoky Mountains National Park,84,Vascular Plant,"Hairy Pepperwort, Hairy Waterclover",No Intervention,False
